"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Apartment","2239","208",9600000,"Cash","Cairo","Madinaty","","","3","3","2025-08-19","8","19"
"Hotel Apartment","1119","104",28700000,"Cash","North Coast","Qesm Marsa Matrouh","Silver Sands","","0","0","2025-09-01","9","1"
"Villa","3294","306",20500000,"Cash","Giza","6 October City","Al Wahat Road","","4","4","2025-09-01","9","1"
"Apartment","1528","142",17218975,"Installments","Giza","Sheikh Zayed City","",4311742,"2","2","2025-09-02","9","2"
"Chalet","2045","190",7800000,"Cash","North Coast","Ras Al Hekma","June","","3","3","2025-08-20","8","20"
"Apartment","1776","165",4750000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","2","2","2025-08-18","8","18"
"Apartment","1130","105",11850000,"Cash","Cairo","New Cairo City","","","1","1","2025-08-03","8","3"
"Townhouse","2756","256",15800000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","4","4","2025-09-01","9","1"
"Chalet","1109","103",4200000,"Cash","North Coast","Ras Al Hekma","Cali Coast","","2","2","2025-08-18","8","18"
"Duplex","4467","415",20528973,"Cash","Giza","Sheikh Zayed City","","","5","5","2025-09-02","9","2"
"Apartment","4036","375",22000000,"Cash","Cairo","Zamalek","",11000000,"4","4","2025-05-30","5","30"
"Penthouse","1184","110",3500000,"Cash","Suez","Al Ain Al Sokhna","Blumar","","1","1","","",""
"Apartment","3498","325",6500000,"Cash","Cairo","Nasr City","6th Zone","","2","2","2025-08-26","8","26"
"Chalet","1399","130",5800000,"Cash","Suez","Al Ain Al Sokhna","Marina Wadi Al Dome","","2","2","2025-07-20","7","20"
"Apartment","1561","145",4000000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-08-31","8","31"
"Apartment","1905","177",8461226,"Installments","Alexandria","Alexandria Compounds","Sawary","","3","3","2025-07-22","7","22"
"Villa","2390","222",9000000,"Cash","Cairo","Shorouk City","","","4","4","2025-06-08","6","8"
"Villa","3595","334",15230000,"Installments","Cairo","New Cairo City","",5586000,"4","4","2025-08-21","8","21"
"Villa","2476","230",11000000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-01","9","1"
"Apartment","1679","156",13900000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-29","8","29"
"Villa","2422","225",6000000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","3","3","2025-08-26","8","26"
"Apartment","1894","176",7200000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"Twin House","3197","297",21000000,"Cash","Giza","6 October City","Northern Expansions","","4","4","2025-08-08","8","8"
"Apartment","904","84",11500000,"Cash","Giza","6 October City","6 October Compounds","","1","1","2025-07-28","7","28"
"Apartment","1776","165",16154000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Chalet","1044","97",1900000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","2","2","2025-08-09","8","9"
"Apartment","2260","210",8300000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Apartment","1292","120",11000000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","2","2","2025-08-17","8","17"
"Apartment","1453","135",2450000,"Cash","Giza","6 October City","6 October Compounds","","1","1","2025-05-25","5","25"
"Chalet","2497","232",42000000,"Installments","North Coast","Ras Al Hekma","Al Masyaf","","4","4","2025-08-31","8","31"
