"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Chalet","1572","146",17700000,"Cash","North Coast","Ras Al Hekma","Azha North","","2","2","2025-08-24","8","24"
"iVilla","3014","280",10500000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Apartment","1399","130",3650000,"Cash","Cairo","New Cairo City","The 5th Settlement","","2","2","2025-08-19","8","19"
"Apartment","2583","240",6800000,"Cash","Cairo","Heliopolis - Masr El Gedida","Ard El Golf","","3","3","2025-08-30","8","30"
"Apartment","2153","200",8000000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-17","8","17"
"Chalet","1959","182",18000000,"Installments","North Coast","Ras Al Hekma","Solare","","2","2","2025-08-31","8","31"
"Chalet","1292","120",4500000,"Installments","Red Sea","Hurghada","",1,"3","3","2025-08-07","8","7"
"Twin House","2314","215",21500000,"Cash","Cairo","New Cairo City","","","5","5","2026-08-30","8","30"
"Townhouse","2045","190",10271438,"Installments","Giza","6 October City","6 October Compounds",4050000,"3","3","2025-08-18","8","18"
"Townhouse","3444","320",45000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","6","6","2025-08-13","8","13"
"Apartment","1830","170",4000000,"Cash","Giza","6 October City","South Dahshur Link","","3","3","2025-08-31","8","31"
"Chalet","1206","112",7000000,"Installments","North Coast","Ras Al Hekma","Jefaira","","2","2","2025-08-31","8","31"
"Apartment","2088","194",8500000,"Cash","Cairo","New Capital City","New Capital Compounds","","3","3","2025-08-30","8","30"
"Villa","3832","356",52000000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-25","8","25"
"Apartment","1830","170",5150000,"Cash","Cairo","New Cairo City","","","3","3","2025-07-04","7","4"
"Apartment","624","58",3255000,"Installments","Cairo","New Cairo City","",1435000,"1","1","2025-08-31","8","31"
"Twin House","2960","275",31000000,"Cash","North Coast","Qesm Marsa Matrouh","Marsa Baghush",5,"4","4","2025-09-02","9","2"
"Apartment","1378","128",9000000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-29","8","29"
"Twin House","1991","185",30000000,"Cash","North Coast","Ras Al Hekma","Azha North",1500000,"3","3","2025-09-02","9","2"
"Chalet","1765","164",21000000,"Cash","North Coast","Qesm Marsa Matrouh","Marsa Baghush",10,"3","3","2025-09-02","9","2"
"Villa","3444","320","","","Giza","6 October City","6 October Compounds","","5","5","","",""
"Chalet","861","80",6662500,"Installments","North Coast","Ras Al Hekma","Koun","","2","2","2025-04-09","4","9"
"Apartment","3014","280",10500000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-27","8","27"
"Apartment","786","73",3615000,"Installments","Red Sea","Hurghada","Hurghada Resorts",723000,"1","1","2025-08-24","8","24"
"Apartment","1658","154",4496000,"Installments","Cairo","New Cairo City","The 5th Settlement",1124000,"2","2","2025-08-06","8","6"
"Villa","1292","120",15200000,"Installments","North Coast","Qesm Marsa Matrouh","Almaza Bay",5200000,"2","2","2025-08-04","8","4"
"Apartment","1076","100",7500000,"Cash","Cairo","New Cairo City","","","2","2","2025-09-01","9","1"
"Apartment","915","85",4800364,"Cash","Cairo","New Cairo City","","","1","1","2025-08-31","8","31"
"Chalet","1163","108",10000000,"Installments","Suez","Al Ain Al Sokhna","Telal Al Sokhna",500000,"2","2","2025-08-30","8","30"
"Apartment","1722","160",12100000,"Cash","Cairo","Madinaty","","","3","3","2025-08-23","8","23"
"Apartment","2508","233",13700000,"Cash","Cairo","New Cairo City","","","4","4","2025-07-08","7","8"
"Duplex","2174","202",13000000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",650000,"4.0","4.0","2025-09-01","9","1"
"Apartment","958","89",2000000,"Cash","Cairo","New Cairo City","","","1","1","2025-05-22","5","22"
"Apartment","1668","155",10258000,"Cash","Cairo","New Cairo City","",500000,"3","3","2025-09-01","9","1"
"Villa","2368","220",16000000,"Cash","Giza","6 October City","Al Wahat Road","","4","4","2025-09-01","9","1"
"Apartment","1141","106",4982000,"Cash","Red Sea","Hurghada","Al Ahyaa District",498200,"1","1","2025-05-04","5","4"
"Townhouse","1507","140",14000000,"Cash","Red Sea","Hurghada","Makadi","","3","3","2025-08-26","8","26"
"Apartment","2982","277",11000000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","4","4","2025-08-30","8","30"
"Twin House","2153","200",30000000,"Cash","North Coast","Qesm Ad Dabaah","Hacienda Waters",600000,"4","4","2025-08-26","8","26"
"Villa","11840","1100",70000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","8","7","2025-09-02","9","2"
"Penthouse","2454","228",13808000,"Cash","Giza","Sheikh Zayed City","",4650000,"3","3","2025-08-20","8","20"
"Apartment","1830","170",4500000,"Cash","Giza","6 October City","South Dahshur Link","","3","3","2025-08-31","8","31"
"Apartment","1884","175",6200000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Apartment","1722","160",5400000,"Cash","Alexandria","Hay Sharq","Smouha","","2","2","2025-09-02","9","2"
"Villa","4844","450",19000000,"Cash","Suez","Al Ain Al Sokhna","Jaz Little Venice Golf","","3","3","2025-09-02","9","2"
"iVilla","2960","275",12500000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-01","9","1"
"Apartment","2153","200",15000000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Twin House","1991","185",15500000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",775000,"4","4","2025-08-31","8","31"
"Land","6458","600",800000,"Cash","Giza","6 October City","6 October Compounds","","","","2025-08-18","8","18"
"Apartment","1550","144",7000000,"Cash","Cairo","New Cairo City","The 6th Settlement",700000,"2","2","2025-09-02","9","2"
"Apartment","1238","115","","","North Coast","Ras Al Hekma","June","","2","2","2025-08-31","8","31"
"Apartment","2530","235",6175000,"Cash","Cairo","New Cairo City","The 5th Settlement","","3","3","2025-09-02","9","2"
"Apartment","1399","130",9813000,"Installments","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",980000,"2","2","2025-09-02","9","2"
"Penthouse","2723","253",15750000,"Cash","Giza","6 October City","6 October Compounds","","4","4","2025-05-13","5","13"
"Apartment","1830","170",8585940,"Cash","Cairo","El Nozha","","","2","2","2025-09-01","9","1"
"Twin House","2260","210",14000000,"Cash","Giza","6 October City","Ring Road","","4","4","","",""
"Villa","3100","288",10000000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","4","4","2025-09-01","9","1"
"Apartment","1184","110",8000000,"Cash","Giza","6 October City","6 October Compounds",400000,"3","3","2025-09-01","9","1"
"Chalet","883","82",8200000,"Cash","North Coast","Ras Al Hekma","Remal",820000,"2","2","2025-08-24","8","24"
"Apartment","1238","115",4500000,"Installments","Cairo","New Cairo City","North Investors Area",25,"2","2","2025-08-14","8","14"
"Apartment","2497","232",18100000,"Cash","North Coast","Al Alamein","New Alamein City","","2","2","2025-08-31","8","31"
"Villa","4521","420",20000000,"Cash","Giza","6 October City","6 October Compounds","","6","6","2025-08-21","8","21"
"Apartment","2153","200",11000000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-31","8","31"
"iVilla","2476","230",7800000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-26","8","26"
"Apartment","1023","95",2565000,"Cash","Giza","6 October City","Hadayek October",128000,"1","1","2025-09-02","9","2"
"Apartment","1765","164",5350000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","3","3","2025-07-16","7","16"
"Apartment","1292","120",11700000,"Installments","Cairo","New Cairo City","",2340000,"2","2","2025-08-09","8","9"
"Duplex","2960","275",9500000,"Cash","Cairo","Shorouk City","El Shorouk Compounds","","3","3","2025-09-01","9","1"
"Apartment","1668","155",7500000,"Cash","Cairo","New Cairo City","","","2","2","2025-09-01","9","1"
"Chalet","1130","105",7500000,"Installments","North Coast","Ras Al Hekma","Direction White","","2","2","2025-08-31","8","31"
"Villa","1668","155",4250000,"Cash","North Coast","Al Alamein","Golf Porto Marina","","3","3","2025-08-12","8","12"
"Duplex","1776","165",27000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","3","3","2025-09-01","9","1"
"Chalet","1184","110",15296000,"Cash","North Coast","Qesm Marsa Matrouh","Fouka Bay","","3","3","2025-08-10","8","10"
"Villa","3983","370",33000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","4","4","2025-08-05","8","5"
"Duplex","2637","245",18000000,"Installments","Cairo","El Nozha","Sheraton Al Matar","","3","3","2025-09-02","9","2"
"Villa","1528","142",11000000,"Installments","North Coast","Ras Al Hekma","Jefaira","","3","3","2025-08-31","8","31"
"Townhouse","2691","250",23000000,"Installments","Cairo","New Cairo City","",9000000,"4","4","2025-08-25","8","25"
"Townhouse","2368","220",18231084,"Cash","Cairo","Mokattam","Uptown Cairo","","3","3","2025-08-28","8","28"
"Apartment","1851","172",14087000,"Installments","Giza","Sheikh Zayed City","New Zayed City",4126000,"3","3","2025-09-01","9","1"
"Villa","5382","500",26500000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","5","5","2025-08-31","8","31"
"Apartment","624","58",3263000,"Installments","Cairo","New Cairo City","",1180000,"1","1","2025-08-31","8","31"
"Villa","6727","625",44000000,"Cash","Cairo","New Cairo City","","","6","6","2025-09-01","9","1"
"Twin House","1776","165","","","North Coast","Ras Al Hekma","Salt","","3","3","2025-09-02","9","2"
"Apartment","1873","174",10000000,"Cash","Cairo","New Cairo City","","","2","2","2025-09-02","9","2"
"Villa","3229","300",33000000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-01","9","1"
"Villa","2626","244","","","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"Villa","2260","210",5900000,"Cash","Giza","6 October City","6 October Compounds","","4","4","2025-08-26","8","26"
"Townhouse","2476","230",17000000,"Cash","Cairo","Madinaty","","","3","3","2025-07-27","7","27"
"Villa","4359","405",29999999,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","5","5","2025-08-31","8","31"
"Apartment","484","45",1534980,"Cash","Cairo","Madinaty","","","1","1","2025-08-26","8","26"
"Apartment","1679","156",13500000,"Cash","Cairo","New Cairo City","","","4","4","2025-05-14","5","14"
"Apartment","1765","164",8500000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-31","8","31"
"Apartment","635","59",3740000,"Cash","Red Sea","Hurghada","Hurghada Resorts","","1","1","2025-09-01","9","1"
"Townhouse","1830","170",7000000,"Cash","North Coast","Ras Al Hekma","Mountain View","","4","4","2025-09-02","9","2"
"Apartment","883","82",4000000,"Cash","Cairo","Madinaty","","","2","2","2025-08-24","8","24"
"Twin House","2368","220",18200000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-09-01","9","1"
"Apartment","1292","120",3640000,"Cash","Cairo","Heliopolis - Masr El Gedida","Ard El Golf","","1","1","2025-08-14","8","14"
"Chalet","700","65",3600000,"Cash","North Coast","Ras Al Hekma","Hacienda West","","1","1","2025-05-29","5","29"
"Apartment","2422","225",11000000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Apartment","2153","200",6800000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","3","3","2025-08-31","8","31"
"Villa","2831","263",58000000,"Cash","North Coast","Al Alamein","Marina","","3","3","2025-08-31","8","31"
"Chalet","2153","200",17000000,"Cash","Red Sea","Hurghada","Al Gouna",2580000,"2","2","2025-08-31","8","31"
"Apartment","1841","171",5690000,"Cash","Cairo","Shorouk City","El Shorouk Compounds","","3","3","2025-08-19","8","19"
"Chalet","1270","118",15900000,"Installments","Red Sea","Hurghada","",795000,"2","2","2025-08-26","8","26"
"Chalet","1076","100",1800000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","2","2","2025-07-25","7","25"
"Apartment","1464","136",6800000,"Cash","Cairo","Madinaty","","","3","3","2025-08-26","8","26"
"Chalet","1076","100",8200001,"Cash","Suez","Al Ain Al Sokhna","Azha","","2","2","2025-09-02","9","2"
"Villa","1938","180",18000000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","3","3","2025-08-31","8","31"
"Apartment","915","85",6013700,"Installments","Red Sea","Hurghada","Hurghada Resorts",1804110,"1","1","2025-08-23","8","23"
"Villa","3229","300",23500000,"Cash","Giza","6 October City","Ring Road","","5","5","2025-07-15","7","15"
"Penthouse","915","85",14500000,"Cash","North Coast","Ras Al Hekma","Azha North","","1","1","2025-08-25","8","25"
